player;minutes;Pases;Shot_Assist;Assist;Centros_Area;Porc_Pase;Regates_Int;Regates_Comp;Recuperaciones;Despejes;Perdidas;Errores;Tiros;xG_per_90;Goles;position;Pases_perc;Shot_Assist_perc;Assist_perc;Centros_Area_perc;Porc_Pase_perc;Regates_Int_perc;Regates_Comp_perc;Recuperaciones_perc;Despejes_perc;Tiros_perc;xG_per_90_perc;Goles_perc;Perdidas_perc;Errores_perc
Leroy Sané;2316;23.93782383419689;0.816062176165803;0.233160621761658;1.0103626943005182;78.57142857142857;6.256476683937825;3.2253886010362693;6.489637305699482;0.23316062176165803;3.1476683937823835;0.0;2.6424870466321244;0.2562979370012953;0.310880829015544;FW;6.284916201117318;69.7292863002461;67.4775928297055;66.83209263854425;44.203910614525135;99.229152067274;98.37570621468927;88.12849162011173;5.41958041958042;89.55851436580238;84.58304134548003;80.39772727272728;4.845505617977523;0.0
Jean-Eric Maxim Choupo-Moting;1863;35.36231884057971;1.497584541062802;0.0966183574879227;1.884057971014493;73.90710382513662;5.942028985507246;3.816425120772947;5.555555555555555;1.1594202898550725;2.705314009661836;0.0;2.415458937198068;0.186768741763285;0.2898550724637681;FW;26.256983240223462;89.25348646431502;39.30857874519846;83.78825475599669;24.30167597765363;98.87876664330764;99.50564971751413;69.83240223463687;36.92307692307693;86.47512263489838;77.43517869656623;78.40909090909092;9.691011235955045;0.0
Joël Andre Job Matip;3060;50.94117647058823;0.2352941176470588;0.088235294117647;0.1764705882352941;84.41108545034642;0.5294117647058824;0.3823529411764705;3.176470588235294;5.5;0.2647058823529412;0.0588235294117647;0.911764705882353;0.1029976078529411;0.088235294117647;DF;68.85474860335195;38.14602132895816;36.42765685019206;29.818031430934656;66.41061452513966;21.19831814996496;26.129943502824858;12.70949720670391;89.65034965034965;49.964961457603366;62.6489138051857;40.909090909090914;85.74438202247191;35.50135501355014
Sead Kolašinac;1570;56.75159235668789;0.8598726114649681;0.0;1.719745222929936;77.87878787878788;1.375796178343949;0.6878980891719745;4.414012738853503;2.178343949044586;0.5159235668789809;0.0;0.6305732484076433;0.0440675017452229;0.0573248407643312;DF;80.09776536312849;72.27235438884333;0.0;81.05872622001655;40.9217877094972;52.06727400140154;46.11581920903955;41.4804469273743;57.62237762237763;37.000700770847935;35.739313244569026;17.613636363636367;73.94662921348315;0.0
Johannes Geis;2337;65.50706033376123;2.002567394094993;0.1925545571245186;1.6174582798459565;78.60082304526749;0.3851091142490372;0.3080872913992298;4.582798459563543;1.7329910141206677;0.269576379974326;0.0385109114249037;1.694480102695764;0.075640586580231;0.0770218228498074;MF;91.34078212290503;95.980311730927;63.25224071702945;79.98345740281225;44.273743016759774;15.066573230553608;19.2090395480226;45.94972067039106;50.00000000000001;70.14716187806587;52.83812193412754;32.95454545454546;85.3932584269663;67.47967479674797
Klaas-Jan Huntelaar;2475;18.90909090909091;0.8;0.109090909090909;0.509090909090909;75.57692307692308;0.6545454545454545;0.3636363636363636;1.5272727272727271;0.7272727272727273;1.6;0.0;2.6545454545454543;0.4606438585454545;0.4363636363636363;FW;1.2569832402234635;68.82690730106646;43.085787451984636;48.38709677419355;31.354748603351954;26.769446391030133;24.22316384180791;0.2094972067039106;24.545454545454547;89.69866853538892;96.07568325157673;89.77272727272728;33.813202247191;0.0
Max Meyer;2309;39.87440450411434;1.4421827631009094;0.2338674750974448;0.4677349501948896;84.84848484848484;2.299696838458207;1.4032048505846686;5.456907752273711;0.1169337375487224;2.533564313555652;0.0;1.792983975747077;0.1650617556821134;0.194889562581204;MF;36.38268156424581;88.43314191960624;67.73367477592829;46.98097601323408;67.87709497206704;74.21163279607568;77.96610169491525;67.66759776536313;1.9580419580419581;72.81009110021023;74.00140154169587;67.04545454545455;12.64044943820224;0.0
Roman Neustädter;2390;53.39748953974895;0.1129707112970711;0.0;0.0;89.98589562764458;0.2259414225941422;0.1506276150627615;4.2175732217573225;4.556485355648536;0.1882845188284518;0.0753138075313807;0.4142259414225941;0.0286495445899581;0.0;DF;74.72067039106145;21.246923707957343;0.0;0.0;77.72346368715084;8.269096005606167;7.309322033898305;37.150837988826815;82.86713286713287;21.233356692361596;23.475823405746322;0.0;91.0814606741573;19.241192411924132
Andrej Kramarić;1122;28.15508021390374;0.5614973262032086;0.160427807486631;1.2834224598930482;76.63817663817663;2.5668449197860963;2.085561497326203;2.8074866310160425;0.16042780748663102;2.647058823529412;0.0;3.449197860962567;0.5399916196764707;0.4010695187165775;FW;11.80167597765363;58.49056603773585;57.36235595390525;73.44913151364764;35.19553072625698;78.34618079887876;90.74858757062147;7.4022346368715075;3.286713286713287;97.05676243868255;98.17799579537491;86.36363636363637;10.849719101123583;0.0
Fabian Lukas Schär;1731;46.16984402079723;0.2599653379549393;0.0;0.0;80.2927927927928;0.4679376083188908;0.363951473136915;3.639514731369151;6.34315424610052;0.3119584055459272;0.0;0.9358752166377816;0.0607884602443674;0.0519930675909878;DF;53.70111731843575;40.68908941755537;0.0;0.0;51.3268156424581;19.13104414856342;24.364406779661017;21.85754189944134;94.1958041958042;51.22634898388227;46.0406447091801;15.340909090909092;82.86516853932585;0.0
